slug,term,code,opus,sonnet,detector,tier,severity,explanation
12b-1,12b-1,NONAUTH,False,True,False,one model,1,"The definition rests entirely on an SEC regulation rather than authoritative GAAP, and provides no accounting-specific content beyond citing the regulation."
12b-1,12b-1,POINTER,True,True,False,both models,2,"The entry only identifies an external regulation. It does not say what 12b-1 fees are (distribution-related fees paid from fund assets), which is how the linked paragraphs use the term."
12b-1,12b-1,MALFORMED,True,False,False,one model,1,"Rule 12b-1 is in Title 17 of the Code of Federal Regulations (17 CFR 270.12b-1), not Chapter 17, so the citation is mislabeled."
401-h-accounts,401(h) account,NONAUTH,False,True,False,one model,1,"The definition references a tax code provision, which is nonauthoritative for GAAP purposes, though it is used only to identify the arrangement, not to supply accounting guidance."
absolute-priority-doctrine,absolute priority doctrine,UNDEF,True,False,False,one model,1,Cram-down is a technical bankruptcy term and no glossary entry defines it. It is only partially explained by its reference to the Bankruptcy Code.
absolute-priority-doctrine,absolute priority doctrine,MALFORMED,True,False,False,one model,1,The opening sentence describes the cram-down power rather than the absolute priority doctrine itself. The actual rule appears only in the third sentence.
accumulated-eligibility-credits,accumulated eligibility credits,MALFORMED,True,False,False,one model,1,"The sentence is garbled: participants accumulate credits to become eligible for benefits or coverage, not ""for the credits""."
accumulated-plan-benefits,accumulated plan benefits,CIRC,True,True,True,both models,2,"This entry depends on ""benefit information date"", which is defined by reference to the actuarial present value of accumulated plan benefits. That forms a real cycle. It is benign in practice because the date is simply the reporting date chosen for the plan."
acquiree,Acquiree,CIRC,True,False,False,one model,1,"Acquiree is defined through acquirer and business combination, and both of those are defined in turn through the acquiree or acquirer. The terms business and control break the loop, so the impact is minor."
acquirer,Acquirer,CIRC,True,False,False,one model,1,Acquirer and acquiree are each defined solely by reference to the other. Only the concept of control keeps the pair from being fully circular.
acquirer,Acquirer,PENDING,True,True,True,both models,2,The current and pending versions are shown together and they differ. The pending version drops the VIE primary-beneficiary sentence and adds a pointer to guidance on identifying the acquirer.
