cycle_id,cycle_size,members,classification,severity,rationale
0,6,deductible temporary difference; deferred tax asset; deferred tax consequences; tax position; temporary difference; valuation allowance,b_genuine_mutual_definition,high,"Temporary difference is defined via tax basis ""computed pursuant to the requirements in Subtopic 740-10 for tax positions""; tax position is a position ""reflected in measuring current or deferred income tax assets and liabilities"" incl. ""a change in the expected realizability of deferred tax assets""; deferred tax asset = ""deferred tax consequences attributable to deductible temporary differences"". The chain temporary difference -> tax position -> deferred tax asset -> temporary difference is definitional, not illustrative. Valuation allowance is a harmless part-of reference inside the loop."
1,5,foreign currency; foreign currency transactions; foreign entity; reporting currency; reporting entity,c_phrase_match_artifact,low,"The only mutual edge is reporting entity <-> foreign currency transactions: reporting entity is ""An entity or group whose financial statements are being referred to"" (self-sufficient); its mention of foreign currency transactions is in a list of what those statements reflect. Foreign currency joins only through an example (""the dollar could be a foreign currency for a foreign entity"")."
2,4,board-designated endowment fund; donor-restricted endowment fund; endowment fund; funds functioning as endowment,a_harmless_pointer,medium,"Endowment Fund lists its kinds with ""See"" pointers; Board-Designated Endowment Fund says ""(sometimes called funds functioning as endowment or quasi-endowment funds)"" and Funds Functioning as Endowment says ""(Sometimes referred to as quasi-endowment funds or board-designated endowment funds.)"". Harmless as a cycle, but the two are declared synonyms that carry two separate, differently worded full definitions (a duplicate-definition defect)."
3,3,net assets; net assets with donor restrictions; net assets without donor restrictions,a_harmless_pointer,low,"Genus and species: Net Assets says ""See Net Assets with Donor Restrictions and Net Assets without Donor Restrictions""; each class is ""The part of net assets..."". Net Assets is independently defined (""excess or deficiency of assets over liabilities"")."
4,3,accumulated plan benefits; actuarial present value of accumulated plan benefits; benefit information date,b_genuine_mutual_definition,high,"Benefit information date = ""The date as of which the actuarial present value of accumulated plan benefits is presented""; actuarial present value of accumulated plan benefits = ""The amount as of a benefit information date...""; accumulated plan benefits = payments attributable to ""service rendered to the benefit information date"". None of the three can be pinned without the others."
5,3,comprehensive income; net income; other comprehensive income,b_genuine_mutual_definition,high,"Other comprehensive income = items ""included in comprehensive income but excluded from net income""; net income = aggregation of items ""that are not items of other comprehensive income""; comprehensive income comprises ""All components of net income All components of other comprehensive income"". NI and OCI are each defined only as the complement of the other, so the NI/OCI line is set only by the Topic paragraphs that list OCI items."
6,3,actuarial calculation; actuarial calculation date; net closed block liability,b_genuine_mutual_definition,low,"Actuarial calculation = ""periodic expected changes in the net closed block liability""; net closed block liability is measured ""at the actuarial calculation date""; the date is ""the date as of which the actuarial calculation is performed"". The loop is broken because the date is independently fixed: ""which is as of the date of demutualization or formation of a mutual insurance holding entity""."
7,3,gain or loss; net periodic pension cost; net periodic postretirement benefit cost,a_harmless_pointer,low,"Whole and part: net periodic pension/postretirement cost lists ""gain or loss"" among its components; the gain or loss entries mention NPPC only for recognition timing. Gain or Loss is independently defined as ""A change in the value of either the benefit obligation ... or the plan assets resulting from experience different from that assumed""."
8,3,lead interest; remainder interest; split-interest agreement,a_harmless_pointer,low,"Whole and part: Split-Interest Agreement ""has the following two components: A lead interest A remainder interest""; each interest is a right under the agreement. The agreement itself is independently defined."
9,3,discount rate; discount rate adjustment technique; present value,b_genuine_mutual_definition,medium,"Discount rate: ""Discount rates are used in determining the present value...""; present value: ""link future amounts ... to a present amount using a discount rate""; the discount rate adjustment technique uses both. Mitigated by discount rate's first sentence (""A rate or rates used to reflect the time value of money""), which gives an independent anchor."
10,3,direct financing lease; operating lease; sales-type lease,b_genuine_mutual_definition,medium,"Lessor classification by exclusion: operating lease (lessor) = ""any lease other than a sales-type lease or a direct financing lease""; sales-type and direct financing leases are each ""not an operating lease in accordance with paragraph 842-10-25-3A"". Resolved only by the criteria paragraphs 842-10-25-2/-3/-3A, not by the glossary. The superseded ""direct financing lease"" twin (""Glossary term superseded by Accounting Standards Update No. 2016-02."") is an artifact node."
11,3,expected losses; expected residual returns; variable interests,b_genuine_mutual_definition,high,"Variable interests = interests that ""absorb portions of a variable interest entity's (VIE's) expected losses or receive portions of the entity's expected residual returns""; expected losses/residual returns = ""expected negative [positive] variability in the fair value of its net assets exclusive of variable interests"". Each is measured by excluding the other: a true mutual definition."
12,2,fixed-price contract; lump-sum contract,a_harmless_pointer,low,"Synonym pointer: Lump-Sum Contract = ""See Fixed-Price Contracts.""; fixed-price contract: ""A fixed-price or lump-sum contract is...""."
13,2,corporate joint venture; joint venture,c_phrase_match_artifact,low,"Phrase-match artifact: Corporate Joint Venture matches ""joint venture"" only inside ""(the joint venturers)""; Joint Venture names corporate joint venture only by contrast (""As distinguished from a corporate joint venture..."")."
14,2,face amount; notional amount,a_harmless_pointer,low,"Synonym pointer: face amount = ""See Notional Amount.""; notional amount: ""the notional amount is called a face amount in some contracts."""
15,2,fair value; market participants,c_phrase_match_artifact,low,"Fair value uses market participants as a definitional term. Market participants mentions fair value only in a proviso (""may be used as an input to a fair value measurement""); its core definition (independent, knowledgeable, able and willing buyers and sellers) stands alone."
16,2,attribution period; credited service period,a_harmless_pointer,low,"See-also: credited service period ends ""See Attribution Period.""; attribution period uses credited service period only to locate its start date ""generally""."
17,2,acquisition by a not-for-profit entity; business combination,a_harmless_pointer,low,"See-also: Business Combination ""See also Acquisition by a Not-for-Profit Entity.""; the NFP entry states that business combination keeps its for-profit meaning when Topic 805 applies."
18,2,equity kicker; expected residual profit,a_harmless_pointer,low,"Synonym pointer: equity kicker = ""See Expected Residual Profit."""
19,2,agricultural cooperative; member of an agricultural cooperative,c_phrase_match_artifact,low,"Member of an agricultural cooperative is defined by reference to the cooperative (genus). The cooperative's mention of members appears inside a quoted statutory condition (""No member of an agricultural cooperative association is allowed more than one vote..."")."
20,2,expected return on plan assets; market-related value of plan assets,b_genuine_mutual_definition,low,"Expected return on plan assets is ""determined based on ... the market-related value of plan assets""; market-related value is introduced as ""A balance used to calculate the expected return on plan assets"" but then given independent content (""either fair value or a calculated value that recognizes changes in fair value in a systematic and rational manner..."")."
21,2,assuming entity; ceding entity,a_harmless_pointer,low,"Correlative pair: assuming entity ""receives a reinsurance premium""; ceding entity ""pays a reinsurance premium"". Each is independently defined, and the cross-mentions describe the counterparty."
22,2,baby bonds; payment-in-kind bonds,a_harmless_pointer,low,"Synonym pointer: baby bonds = ""See Payment-in-Kind Bonds."""
23,2,closed-form model; lattice model,a_harmless_pointer,low,"Contrast and see-also between two valuation model types. Closed-form is defined by ""uses an equation"", lattice by ""assumed changes in prices ... over successive periods""."
24,2,environmental credit; environmental credit obligation,b_genuine_mutual_definition,medium,"Pending Topic 818 (ASU 2026-02) definitions: an environmental credit must be usable ""to satisfy an environmental credit obligation""; an environmental credit obligation is one that ""may be settled with environmental credits"". Partly mitigated by each entry's independent first clause (enforceable right / regulatory compliance obligation)."
25,2,contingent stock agreement; contingently issuable shares,a_harmless_pointer,low,"See-also: contingent stock agreement ""See Contingently Issuable Shares.""; the shares are issuable ""pursuant to a contingent stock agreement"". The agreement is independently defined."
26,2,contract period; coverage period,a_harmless_pointer,low,"Synonym pointer: coverage period = ""See Contract Period."""
27,2,conversion rate; convertible security,b_genuine_mutual_definition,medium,"Conversion rate = ""ratio of the number of common shares issuable upon conversion to a unit of a convertible security""; convertible security = ""convertible into another security based on a conversion rate"". A strict mutual definition, though ordinary meaning resolves it."
28,2,requisite service period; service condition,b_genuine_mutual_definition,high,"Service condition ""depends solely on an employee rendering service to the employer for the requisite service period""; requisite service period ""for an award that has only a service condition is presumed to be the vesting period"". The Topic 718 glossary defines each through the other."
29,2,grant date; service inception date,a_harmless_pointer,low,"See-also: Grant Date ends ""See Service Inception Date.""; service inception date ""usually is the grant date"" but is independently defined as the start of the requisite service/vesting period."
30,2,financial highlights; theoretical investment,a_harmless_pointer,low,"Pointer: theoretical investment = ""See Nonregistered Investment Partnerships—Financial Highlights."" (The target entry is labelled ""financial highlights"" in the site data.)"
31,2,government national mortgage association; mortgage-backed securities,c_phrase_match_artifact,low,"Example mentions only: GNMA ""guarantees certain types of mortgage-backed securities""; MBS lists GNMA as an example issuer."
32,2,management and general activities; supporting activities,a_harmless_pointer,low,"Genus and species: supporting activities ""include ... Management and general activities""; management and general activities are ""Supporting activities that are not directly identifiable with..."" Supporting activities is independently defined (""all activities of an NFP other than program services"")."
33,2,gross premium; net premiums,a_harmless_pointer,low,"See-also: gross premium ""See also Net Premiums.""; net premium is ""that portion of the gross premium required to provide for all benefits and expenses""."
34,2,high-yield debt securities; junk bonds,a_harmless_pointer,low,"Synonym pointer: junk bonds = ""See High-Yield Debt Securities."""
35,2,land development costs; permanent land development costs,a_harmless_pointer,low,"Pointer: Permanent Land Development Costs = ""See Land Development Costs."""
