defect,slug,term,verdict,source_cited,source_status,pending_transition,linking_subtopics,note,canonical_headwords,entry_self_scopes
NONAUTH,expected-losses-and-expected-residual-returns,Expected Losses and Expected Residual Returns,confirmed,Concepts Statement No. 7,"CON 7 replaced by CON 8 Ch 6, Measurement (Jul 2024): ""B2. Chapter 6 of Concepts Statement 8 replaces Concepts Statement 7."" Nonauthoritative per ASC 105-10-05-3(b).",105-10-65-9,810-10,"ASU 2024-02 pending text (105-10-65-9) deletes the reference; effective FY beginning after 2024-12-15 (PBE) / 2025-12-15 (others), so the Concepts Statement version remains operative for some non-PBE fiscal years in progress at the Sept 2026 snapshot.",,
NONAUTH,financial-instrument,Financial Instrument,confirmed,Concepts Statement No. 6,"CON 6 replaced in full by CON 8 Chapter 4, Elements of Financial Statements (Dec 2021): ""C1. Chapter 4 of Concepts Statement 8 replaces Concepts Statement 6."" CON 6 paras 134-152 (incl. para 137) were moved, amended and un-numbered into the CON 8 introduction. Nonauthoritative per ASC 105-10-05-3(b).",105-10-65-9,235-10; 260-10; 325-954; 480-10; 505-10; 815-10; 815-15; 815-20; 815-25; 815-30; 815-40; 820-10; 825-10; 825-20; 860-10; 860-20,"ASU 2024-02 pending text (105-10-65-9) deletes the reference; effective FY beginning after 2024-12-15 (PBE) / 2025-12-15 (others), so the Concepts Statement version remains operative for some non-PBE fiscal years in progress at the Sept 2026 snapshot.",,
NONAUTH,obligation,Obligation,confirmed,Concepts Statement No. 6,"CON 6 replaced in full by CON 8 Chapter 4, Elements of Financial Statements (Dec 2021): ""C1. Chapter 4 of Concepts Statement 8 replaces Concepts Statement 6."" CON 6 paras 134-152 (incl. para 137) were moved, amended and un-numbered into the CON 8 introduction. Nonauthoritative per ASC 105-10-05-3(b).",105-10-65-9,480-10,"ASU 2024-02 pending text (105-10-65-9) deletes the reference; effective FY beginning after 2024-12-15 (PBE) / 2025-12-15 (others), so the Concepts Statement version remains operative for some non-PBE fiscal years in progress at the Sept 2026 snapshot.",,
NONAUTH,readily-convertible-to-cash,Readily Convertible to Cash,confirmed,Concepts Statement No. 5,"CON 5 partly superseded by CON 8 Ch 5 (Aug 2023) and replaced by CON 8 Ch 6, Measurement (Jul 2024): ""B1. Chapter 6 of Concepts Statement 8 replaces Concepts Statement 5."" Nonauthoritative per ASC 105-10-05-3(b).",105-10-65-9,815-10; 815-15; 815-20; 815-25,"ASU 2024-02 pending text (105-10-65-9) deletes the reference; effective FY beginning after 2024-12-15 (PBE) / 2025-12-15 (others), so the Concepts Statement version remains operative for some non-PBE fiscal years in progress at the Sept 2026 snapshot.",,
NONAUTH,restructuring,restructuring,confirmed,International Accounting Standard No. 37,"IFRS/IAS literature is nonauthoritative per ASC 105-10-05-3(d); the entry freezes the reference to IAS 37 ""in 2002"".",,420-10,No pending text removes the reference; the dependency on nonauthoritative literature is current.,,
NONAUTH,transaction,Transaction,confirmed,Concepts Statement No. 6,"CON 6 replaced in full by CON 8 Chapter 4, Elements of Financial Statements (Dec 2021): ""C1. Chapter 4 of Concepts Statement 8 replaces Concepts Statement 6."" CON 6 paras 134-152 (incl. para 137) were moved, amended and un-numbered into the CON 8 introduction. Nonauthoritative per ASC 105-10-05-3(b).",105-10-65-9,815-10; 815-15; 815-20; 815-25; 815-30; 815-40,"ASU 2024-02 pending text (105-10-65-9) deletes the reference; effective FY beginning after 2024-12-15 (PBE) / 2025-12-15 (others), so the Concepts Statement version remains operative for some non-PBE fiscal years in progress at the Sept 2026 snapshot.",,
NONAUTH,transfer,Transfer,confirmed,Concepts Statement No. 6,"CON 6 replaced in full by CON 8 Chapter 4, Elements of Financial Statements (Dec 2021): ""C1. Chapter 4 of Concepts Statement 8 replaces Concepts Statement 6."" CON 6 paras 134-152 (incl. para 137) were moved, amended and un-numbered into the CON 8 introduction. Nonauthoritative per ASC 105-10-05-3(b).",105-10-65-9,480-10; 860-10; 860-20; 860-30; 860-50,"ASU 2024-02 pending text (105-10-65-9) deletes the reference; effective FY beginning after 2024-12-15 (PBE) / 2025-12-15 (others), so the Concepts Statement version remains operative for some non-PBE fiscal years in progress at the Sept 2026 snapshot. Pending text keeps ""broad sense"" but drops its only anchor (CON 6 para 137), leaving ""broad sense"" undefined.",,
SCOPECONF,transfer,Transfer,confirmed,Subtopic 860-10,,105-10-65-9,"480-10:Transfer <- 480-10; 860-10:Transfer <- 860-10,860-20,860-30,860-50","The same slug/headword ""Transfer"" carries two definitions in the crawl: the 480-10 ""broad sense"" entry (linked only from 480-10) and the 860-10 entry ""The conveyance of a noncash financial asset by and to someone other than the issuer of that financial asset..."" (linked from 860-10/20/30/50). The site glossary keeps only the 480-10 text, so its used_in list wrongly attributes 860 usage to the broad-sense definition.",,
HOMONYM,actual-return-on-plan-assets-component-of-net-periodic-pension-cost,Actual return on plan assets,label_artifact,,,,"715-30[715-30-35-4,715-30-35-5,715-30-55-40]","Distinct FASB headwords (suffix ""component of net periodic pension/postretirement benefit cost"" is kept in the slug); the site display label drops the suffix. Each is linked from only one subtopic (715-30 vs 715-60).",,False
HOMONYM,actual-return-on-plan-assets-component-of-net-periodic-postretirement-benefit-cost,Actual return on plan assets,label_artifact,,,,715-60[715-60-35-9],See pension counterpart; linked only from 715-60-35-9.,,False
HOMONYM,benefits,Benefits,label_artifact,,,,"205-960[205-960-00-1,205-960-05-2,205-960-10-1,205-960-45-4]; 205-962[205-962-00-1,205-962-45-4]; 205-965[205-965-00-1,205-965-45-4,205-965-50-1,205-965-55-3]; 325-960[325-960-00-1,325-960-25-1]; 325-962[325-962-00-1,325-962-55-2]; 325-965[325-965-00-1]; 360-960[360-960-00-1,360-960-35-2]; 715-30[715-30-00-1,715-30-05-3,715-30-15-3,715-30-25-6]; 715-60[715-60-00-1,715-60-05-2,715-60-05-8,715-60-15-11]; 960-10[960-10-00-1,960-10-05-1]; 960-20[960-20-00-1,960-20-25-1,960-20-35-3,960-20-45-3]; 960-30[960-30-00-1,960-30-05-1,960-30-25-1,960-30-45-1]; 962-10[962-10-00-1,962-10-05-1,962-10-10-1,962-10-15-2]; 962-40[962-40-00-1,962-40-50-1]; 965-10[965-10-00-1,965-10-05-1,965-10-15-3]; 965-20[965-20-00-1,965-20-25-1]; 965-30[965-30-00-1,965-30-25-1,965-30-35-1,965-30-45-5]; 965-40[965-40-00-1,965-40-35-2,965-40-50-1]","Headwords differ (""Benefits"", defined in 715-60, vs ""Benefit"", a pointer defined in 740-270). However FASB status tables label ""Benefits (1st/2nd/3rd def.)"", so ""Benefits"" is itself a FASB-acknowledged homonym that the crawl collapses into one text.",Benefits (def. in 715-60),False
HOMONYM,benefit,benefits,label_artifact,,,,"205-960[205-960-55-1]; 270-740[270-740-55-7]; 740-30[740-30-25-10,740-30-50-2]; 740-830[740-830-30-1,740-830-45-1]","Headword ""Benefit"" = ""See Tax (or Benefit)."" (740-270); linked from 205-960, 270-740, 740-30, 740-830. The 205-960-55-1 link sends a plan-accounting reader to the income-tax pointer, which is a mislink risk.",Benefit (def. in 740-270),False
HOMONYM,plan-curtailment,curtailment,pointer,,,,"715-30[715-30-05-9,715-30-15-6,715-30-35-21,715-30-35-74]","""Curtailment"" (Curtailment_01) is only ""See Plan Curtailment.""; both in 715-30. Harmless synonym pointer.",PlanCurtailment_02 (def. in 715-30),False
HOMONYM,curtailment,curtailment,pointer,,,,"715-30[715-30-25-13,715-30-35-15]",Pointer to Plan Curtailment; same subtopic 715-30.,Curtailment_01 (def. in 715-30),False
HOMONYM,direct-financing-lease,Direct Financing Lease,confirmed,,,,"220-40[220-40-00-1]; 255-10[255-10-00-1,255-10-55-7A]; 310-10[310-10-00-1,310-10-55-14]; 340-970[340-970-00-1,340-970-25-16,340-970-35-2]; 450-30[450-30-00-1,450-30-60-5]; 805-10[805-10-00-1,805-10-55-44]; 805-20[805-20-00-1,805-20-30-25,805-20-50-1]; 810-10[810-10-00-1,810-10-55-78]; 840-20[840-20-00-1]; 840-30[840-30-00-1]; 840-40[840-40-00-1]; 842-10[842-10-00-1,842-10-25-3]; 842-20[842-20-00-1]; 842-30[842-30-00-1,842-30-05-1,842-30-25-6,842-30-30-2]; 842-40[842-40-00-1]; 860-10[860-10-00-1,860-10-55-5]","Live 842 entry. Its superseded twin (headword DirectFinancingLeases, defined in 840-10) is still linked from current Topic 842 paragraphs 842-10-15-3C, 842-10-25-15, 842-10-65-1 and 842-20-35-14, so a reader clicking ""direct financing lease"" there gets only ""Glossary term superseded by Accounting Standards Update No. 2016-02.""",,False
HOMONYM,direct-financing-leases,direct financing lease,confirmed,,,,"842-10[842-10-15-3C,842-10-25-15,842-10-65-1]; 842-20[842-20-35-14]",Superseded entry still linked from 4 live 842 paragraphs (see twin).,DirectFinancingLeases (def. in 840-10),False
HOMONYM,fed-funds-effective-rate-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,confirmed,,,,815-20[815-20-00-1],Two entries with identical headword and near-identical text in 815-20. This one is linked only from the status table 815-20-00-1.,,False
HOMONYM,fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,confirmed,,,815-20-65-4,815-20[815-20-25-6A],"The operative paragraph 815-20-25-6A links to this twin, whose text still ends ""(P) December 16, 2018; (N) December 16, 2020 815-20-65-4 Glossary term superseded by Accounting Standards Update No. 2018-16"" although 815-20-65-4 is itself superseded (12/14/2022).",,False
HOMONYM,gain-or-loss,Gain or Loss,confirmed,,,,"715-30[715-30-00-1,715-30-05-9,715-30-35-75,715-30-55-6]; 715-60[715-60-00-1,715-60-35-139,715-60-35-150,715-60-35-151]","""Gain or Loss"" (experience gain/loss) and ""Gain or loss component (of net periodic pension cost)"" are both linked from 715-30, told apart only by the headword suffix. FASB status table 715-30-00-1 labels ""Gain or Loss (1st def.)"" and ""(2nd def.)"".",GainorLoss (def. in 715-60),False
HOMONYM,gain-or-loss-component-of-net-periodic-pension-cost,Gain or loss,confirmed,,,,"715-30[715-30-35-26,715-30-35-4]","Linked from 715-30-35-4 and 715-30-35-26, where the reader also sees plain ""gain or loss"" linked to the other definition.",,False
HOMONYM,interest-cost-component-of-net-periodic-pension-cost,Interest cost,confirmed,,,,715-30[715-30-35-4],"Linked from 715-30-35-4 as ""Interest cost"".",,False
